"Date","Price","Open","High","Low","Vol.","Change %"
"01.12.2024","669,62","668,25","681,25","645,12","292,69K","-1,09%"
"01.11.2024","677,00","681,00","704,75","653,50","1,41M","1,20%"
"01.10.2024","669,00","660,25","732,00","633,75","1,41M","1,44%"
"01.09.2024","659,50","691,50","703,12","626,12","58,13K","-5,31%"
"01.08.2024","696,50","748,75","752,88","683,88","44,13K","-5,91%"
"01.07.2024","740,25","785,75","819,25","720,00","1,44M","-5,76%"
"01.06.2024","785,50","733,00","803,50","695,50","1,41M","7,35%"
"01.05.2024","731,75","771,25","773,25","726,75","1,20M","-5,46%"
"01.04.2024","774,00","819,50","875,50","762,00","1,17M","-5,26%"
"01.03.2024","817,00","830,50","863,25","802,75","1,17M","-1,18%"
"01.02.2024","826,75","854,75","932,50","805,75","1,21M","-3,30%"
"01.01.2024","855,00","758,00","882,75","740,75","1,49M","13,89%"
"01.12.2023","750,75","809,00","814,25","715,25","891,98K","-6,33%"
"01.11.2023","801,50","875,50","916,50","778,25","1,07M","-9,18%"
"01.10.2023","882,50","995,25","1.008,00","836,50","1,01M","-11,88%"
"01.09.2023","1.001,50","908,50","1.020,00","907,50","1,27M","11,84%"
"01.08.2023","895,50","887,00","968,25","858,50","1,09M","2,08%"
"01.07.2023","877,25","717,00","889,50","693,75","937,48K","23,69%"
"01.06.2023","709,25","658,25","745,25","656,50","1,09M","7,02%"
"01.05.2023","662,75","691,25","707,50","631,00","1,03M","-4,64%"
"01.04.2023","695,00","790,50","817,75","676,00","736,68K","-8,88%"
"01.03.2023","762,75","822,25","865,00","721,75","1,13M","-8,46%"
"01.02.2023","833,25","918,00","923,25","764,75","750,05K","-8,96%"
"01.01.2023","915,25","945,00","1.024,50","835,50","793,46K","-0,62%"
"01.12.2022","921,00","932,50","975,00","792,25","620,92K","-0,67%"
"01.11.2022","927,25","1.081,50","1.130,00","870,00","689,64K","-15,72%"
"01.10.2022","1.100,25","1.002,50","1.309,50","1.002,50","623,20K","10,77%"
"01.09.2022","993,25","1.090,50","1.152,00","911,00","870,18K","-9,58%"
"01.08.2022","1.098,50","1.069,50","1.207,00","937,25","653,46K","-0,72%"
"01.07.2022","1.106,50","1.185,75","1.247,50","1.005,75","598,12K","-4,61%"
"01.06.2022","1.160,00","1.218,25","1.433,75","1.142,25","595,17K","-6,77%"
"01.05.2022","1.244,25","1.205,00","1.300,00","989,50","522,82K","1,39%"
"01.04.2022","1.227,25","1.048,00","1.249,75","968,50","474,61K","15,70%"
"01.03.2022","1.060,75","891,75","1.665,00","864,50","803,04K","20,37%"
"01.02.2022","881,25","799,25","902,50","780,75","1,24M","10,68%"
"01.01.2022","796,25","669,50","811,00","662,50","1,22M","19,38%"
"01.12.2021","667,00","596,75","688,25","576,25","1,00M","11,21%"
"01.11.2021","599,75","721,00","748,50","577,50","1,63M","-16,53%"
"01.10.2021","718,50","674,75","755,00","667,50","1,68M","6,25%"
"01.09.2021","676,25","600,75","682,00","590,00","1,62M","12,43%"
"01.08.2021","601,50","612,75","613,50","537,25","1,32M","-1,92%"
"01.07.2021","613,25","599,25","623,25","551,00","1,30M","2,76%"
"01.06.2021","596,75","565,50","611,00","565,50","1,29M","5,20%"
"01.05.2021","567,25","534,50","571,00","529,75","1,15M","6,28%"
"01.04.2021","533,75","496,50","549,50","487,75","1,11M","5,64%"
"01.03.2021","505,25","530,25","564,50","482,00","1,49M","-5,03%"
"01.02.2021","532,00","447,25","548,00","445,25","1,32M","18,16%"
"01.01.2021","450,25","423,00","465,75","413,75","1,24M","7,01%"
"01.12.2020","420,75","390,50","435,00","380,50","1,13M","8,72%"
"01.11.2020","387,00","302,00","399,00","286,25","1,16M","26,89%"
"01.10.2020","305,00","334,00","351,25","295,75","1,27M","-7,44%"
"01.09.2020","329,50","362,25","368,75","306,00","1,42M","-8,98%"
"01.08.2020","362,00","365,50","389,25","357,50","1,06M","-0,82%"
"01.07.2020","365,00","354,00","388,50","349,00","1,02M","3,62%"
"01.06.2020","352,25","297,75","370,50","291,75","1,11M","24,14%"
"01.05.2020","283,75","240,00","310,25","210,00","1,06M","19,85%"
"01.04.2020","236,75","287,00","383,00","181,00","1,34M","-19,13%"
"01.03.2020","292,75","437,00","475,00","263,00","1,39M","-33,62%"
"01.02.2020","441,00","495,25","523,75","435,50","1,41M","-11,98%"
"01.01.2020","501,00","618,00","643,00","495,50","1,61M","-18,40%"
"01.12.2019","614,00","568,50","631,75","565,50","1,02M","7,34%"
"01.11.2019","572,00","568,25","596,50","557,00","1,24M","0,88%"
"01.10.2019","567,00","586,25","602,50","557,50","1,49M","-3,94%"
"01.09.2019","590,25","563,75","673,50","547,00","1,40M","5,21%"
"01.08.2019","561,00","595,75","599,25","532,00","1,13M","-6,77%"
"01.07.2019","601,75","591,25","612,25","567,00","1,04M","1,13%"
"01.06.2019","595,00","564,50","603,25","535,50","962,49K","3,03%"
"01.05.2019","577,50","635,25","666,75","564,00","1,56M","-9,48%"
"01.04.2019","638,00","605,00","651,00","604,75","1,05M","5,41%"
"01.03.2019","605,25","625,50","633,25","594,75","1,15M","-3,16%"
"01.02.2019","625,00","573,00","627,75","567,00","942,68K","6,93%"
"01.01.2019","584,50","503,50","587,75","491,25","1,06M","14,44%"
"01.12.2018","510,75","564,00","600,00","483,25","855,07K","-7,26%"
"01.11.2018","550,75","699,25","713,75","543,75","1,45M","-22,35%"
"01.10.2018","709,25","725,00","752,25","689,75","1,54M","-2,07%"
"01.09.2018","724,25","689,75","727,50","673,00","1,21M","4,93%"
"01.08.2018","690,25","649,00","693,75","636,25","1,18M","5,50%"
"01.07.2018","654,25","671,75","683,00","625,00","1,02M","-3,18%"
"01.06.2018","675,75","684,00","684,00","630,75","1,30M","-1,42%"
"01.05.2018","685,50","658,25","705,00","639,75","1,60M","4,58%"
"01.04.2018","655,50","621,25","665,00","599,75","1,23M","5,77%"
"01.03.2018","619,75","570,75","624,75","556,50","1,24M","7,41%"
"01.02.2018","577,00","614,75","624,25","539,25","1,19M","-5,64%"
"01.01.2018","611,50","603,50","630,50","596,25","1,17M","1,87%"
"01.12.2017","600,25","552,75","606,00","542,50","883,92K","7,76%"
"01.11.2017","557,00","553,75","573,50","540,25","1,22M","1,09%"
"01.10.2017","551,00","547,00","554,00","514,00","1,26M","0,50%"
"01.09.2017","548,25","512,00","556,25","500,00","1,30M","8,62%"
"01.08.2017","504,75","495,25","511,75","458,00","1,17M","3,22%"
"01.07.2017","489,00","441,75","502,25","422,75","1,13M","12,03%"
"01.06.2017","436,50","451,25","454,50","402,50","1,28M","-2,02%"
"01.05.2017","445,50","454,50","485,50","411,75","1,45M","-1,87%"
"01.04.2017","454,00","473,00","502,00","450,75","946,86K","-3,30%"
"01.03.2017","469,50","493,75","501,25","444,00","1,35M","-4,04%"
"01.02.2017","489,25","487,75","507,25","482,50","971,59K","-0,91%"
"01.01.2017","493,75","503,75","514,50","468,75","1,06M","-1,45%"
"01.12.2016","501,00","450,75","505,50","450,75","924,33K","11,77%"
"01.11.2016","448,25","443,75","457,50","400,25","1,22M","1,82%"
"01.10.2016","440,25","448,00","480,00","438,00","877,47K","-1,45%"
"01.09.2016","446,75","411,50","450,00","398,25","1,21M","7,78%"
"01.08.2016","414,50","370,25","448,75","353,50","1,02M","11,65%"
"01.07.2016","371,25","437,25","444,75","364,75","1,05M","-16,10%"
"01.06.2016","442,50","444,00","470,50","418,75","1,02M","-2,43%"
"01.05.2016","453,50","411,00","454,75","379,25","1,02M","9,81%"
"01.04.2016","413,00","351,00","421,50","312,00","1,00M","16,34%"
"01.03.2016","355,00","320,00","381,00","319,00","1,03M","9,40%"
"01.02.2016","324,50","309,75","330,75","272,25","1,03M","6,74%"
"01.01.2016","304,00","333,75","346,00","245,25","1,11M","-6,82%"
"01.12.2015","326,25","407,00","411,50","323,50","1,07M","-22,23%"
"01.11.2015","419,50","455,00","475,75","405,50","1,05M","-7,85%"
"01.10.2015","455,25","467,75","494,75","427,75","1,12M","-1,89%"
"01.09.2015","464,00","502,25","505,75","455,00","1,14M","-4,48%"
"01.08.2015","485,75","481,75","513,75","420,50","1,02M","-0,61%"
"01.07.2015","488,75","575,50","578,25","480,00","1,07M","-14,81%"
"01.06.2015","573,75","595,00","601,75","559,25","1,03M","-3,25%"
"01.05.2015","593,00","602,75","628,75","565,25","871,63K","-1,04%"
"01.04.2015","599,25","524,75","603,50","511,00","783,34K","13,82%"
"01.03.2015","526,50","599,00","599,00","504,25","880,21K","-11,33%"
"01.02.2015","593,75","499,75","601,75","494,00","821,98K","24,15%"
"01.01.2015","478,25","530,75","534,00","453,75","949,60K","-6,64%"
"01.12.2014","512,25","639,00","655,25","510,50","790,78K","-22,00%"
"01.11.2014","656,75","743,25","755,75","633,00","916,28K","-11,46%"
"01.10.2014","741,75","797,00","811,50","716,75","1,25M","-7,91%"
"01.09.2014","805,50","864,75","869,75","795,25","906,32K","-6,85%"
"01.08.2014","864,75","885,00","891,75","852,50","858,51K","-2,51%"
"01.07.2014","887,00","913,50","916,25","871,50","919,97K","-3,06%"
"01.06.2014","915,00","892,50","943,75","878,50","816,05K","2,52%"
"01.05.2014","892,50","906,00","918,50","891,50","1,01M","-0,94%"
"01.04.2014","901,00","896,25","928,75","873,25","1,49M","0,67%"
"01.03.2014","895,00","921,25","944,25","885,25","1,49M","-2,53%"
"01.02.2014","918,25","909,00","938,75","894,50","1,54M","0,71%"
"01.01.2014","911,75","945,00","945,50","893,75","1,83M","-3,37%"
"01.12.2013","943,50","937,75","957,00","914,25","1,14M","0,08%"
"01.11.2013","942,75","926,25","947,75","882,50","1,53M","2,03%"
"01.10.2013","924,00","915,25","947,00","902,00","2,15M","1,32%"
"01.09.2013","912,00","956,25","971,75","900,25","1,69M","-5,91%"
"01.08.2013","969,25","919,00","985,50","893,50","1,63M","6,19%"
"01.07.2013","912,75","876,00","931,25","869,50","1,75M","4,05%"
"01.06.2013","877,25","839,00","901,75","835,25","1,85M","3,76%"
"01.05.2013","845,50","848,75","886,00","824,00","1,87M","-0,50%"
"01.04.2013","849,75","917,50","938,00","820,25","1,73M","-7,46%"
"01.03.2013","918,25","925,00","939,75","896,25","1,59M","-2,21%"
"01.02.2013","939,00","986,50","1.020,25","926,50","1,79M","-4,45%"
"01.01.2013","982,75","939,00","986,25","922,25","2,03M","6,01%"
"01.12.2012","927,00","950,25","962,00","901,00","1,18M","-2,73%"
"01.11.2012","953,00","944,75","961,50","912,25","1,73M","0,37%"
"01.10.2012","949,50","976,50","1.016,25","935,50","2,37M","-2,57%"
"01.09.2012","974,50","997,75","1.017,00","943,75","1,71M","-1,99%"
"01.08.2012","994,25","899,00","1.002,50","897,50","1,75M","9,68%"
"01.07.2012","906,50","860,50","929,00","841,00","1,75M","7,50%"
"01.06.2012","843,25","868,00","874,00","801,00","1,72M","-2,71%"
"01.05.2012","866,75","1.007,00","1.012,00","863,00","1,90M","-13,58%"
"01.04.2012","1.003,00","1.012,50","1.037,25","982,00","1,72M","-1,06%"
"01.03.2012","1.013,75","1.013,25","1.045,75","1.002,75","1,83M","1,00%"
"01.02.2012","1.003,75","952,00","1.040,00","945,50","1,90M","5,69%"
"01.01.2012","949,75","925,50","981,00","925,50","1,95M","3,46%"
"01.12.2011","918,00","953,25","970,00","878,25","1,35M","-4,03%"
"01.11.2011","956,50","943,50","990,50","922,50","2,09M","1,84%"
"01.10.2011","939,25","872,00","966,50","844,25","2,21M","6,79%"
"01.09.2011","879,50","968,50","972,00","867,75","1,92M","-9,33%"
"01.08.2011","970,00","972,50","1.001,50","851,00","2,19M","-0,26%"
"01.07.2011","972,50","927,75","989,25","908,50","1,53M","4,63%"
"01.06.2011","929,50","965,00","998,50","861,50","1,87M","-3,63%"
"01.05.2011","964,50","1.037,25","1.044,25","877,75","1,90M","-6,92%"
"01.04.2011","1.036,25","993,00","1.060,50","986,25","1,67M","4,75%"
"01.03.2011","989,25","930,25","996,25","924,50","2,16M","5,72%"
"01.02.2011","935,75","846,25","977,00","833,25","1,96M","11,33%"
"01.01.2011","840,50","786,00","854,25","763,25","1,81M","9,44%"
"01.12.2010","768,00","725,50","792,00","723,50","1,26M","4,56%"
"01.11.2010","734,50","704,00","765,50","699,75","1,70M","4,33%"
"01.10.2010","704,00","712,25","733,75","693,00","1,87M","0,00%"
"01.09.2010","704,00","634,25","714,00","634,00","1,73M","9,19%"
"01.08.2010","644,75","664,00","701,75","617,50","1,34M","-1,53%"
"01.07.2010","654,75","641,75","667,25","609,00","1,45M","1,20%"
"01.06.2010","647,00","642,00","694,00","614,00","1,48M","1,01%"
"01.05.2010","640,50","735,00","750,50","589,50","1,39M","-12,80%"
"01.04.2010","734,50","687,50","739,50","685,50","1,40M","7,86%"
"01.03.2010","681,00","633,50","690,00","624,50","1,71M","7,71%"
"01.02.2010","632,25","587,75","648,75","558,25","1,46M","6,57%"
"01.01.2010","593,25","642,00","676,25","583,00","1,34M","-7,52%"
"01.12.2009","641,50","633,00","650,00","581,25","1,10M","2,56%"
"01.11.2009","625,50","626,50","656,75","591,75","1,28M","-1,07%"
"01.10.2009","632,25","577,50","670,25","549,25","1,31M","13,00%"
"01.09.2009","559,50","573,50","595,25","535,75","1,09M","-1,71%"
"01.08.2009","569,25","588,50","624,75","567,00","862,53K","-1,39%"
"01.07.2009","577,25","575,50","590,00","485,00","1,16M","1,67%"
"01.06.2009","567,75","533,25","606,50","533,25","1,10M","6,17%"
"01.05.2009","534,75","433,50","535,75","426,50","978,71K","22,93%"
"01.04.2009","435,00","429,25","473,50","417,75","847,47K","1,75%"
"01.03.2009","427,50","399,00","485,00","358,50","936,19K","8,85%"
"01.02.2009","392,75","453,00","457,00","367,25","806,71K","-13,54%"
"01.01.2009","454,25","445,25","530,50","418,75","1,02M","6,95%"
"01.12.2008","424,75","535,25","537,25","397,25","812,70K","-20,23%"
"01.11.2008","532,50","634,75","695,50","520,00","802,96K","-15,94%"
"01.10.2008","633,50","936,00","949,00","609,50","1,04M","-30,48%"
"01.09.2008","911,25","1.038,00","1.047,50","864,25","1,03M","-12,19%"
"01.08.2008","1.037,75","1.129,00","1.153,25","996,25","738,42K","-8,31%"
"01.07.2008","1.131,75","1.269,00","1.347,25","1.123,50","864,09K","-10,78%"
"01.06.2008","1.268,50","1.191,00","1.296,00","1.140,00","749,38K","6,44%"
"01.05.2008","1.191,75","1.054,75","1.308,25","1.013,00","740,84K","13,77%"
"01.04.2008","1.047,50","924,00","1.074,00","903,50","784,37K","9,71%"
"01.03.2008","954,75","892,00","979,00","886,75","800,24K","6,62%"
"01.02.2008","895,50","794,50","899,00","768,50","938,35K","13,68%"
"01.01.2008","787,75","830,50","856,25","747,00","901,12K","-5,23%"
"01.12.2007","831,25","792,25","841,25","763,00","657,84K","5,62%"
"01.11.2007","787,00","790,75","854,00","774,25","984,00K","0,16%"
"01.10.2007","785,75","703,00","792,75","669,50","927,93K","10,51%"
"01.09.2007","711,00","644,00","714,50","643,00","802,59K","10,75%"
"01.08.2007","642,00","659,00","661,50","608,75","764,00K","-2,36%"
"01.07.2007","657,50","632,00","665,75","628,00","677,87K","4,41%"
"01.06.2007","629,75","595,75","639,50","591,25","615,72K","6,56%"
"01.05.2007","591,00","597,75","618,75","567,25","668,01K","-1,17%"
"01.04.2007","598,00","589,75","610,75","565,75","593,30K","0,76%"
"01.03.2007","593,50","547,00","598,50","525,00","639,50K","9,60%"
"01.02.2007","541,50","518,75","550,50","502,00","594,21K","5,04%"
"01.01.2007","515,50","522,50","531,75","466,25","715,86K","-1,20%"
"01.12.2006","521,75","568,75","570,25","520,25","499,18K","-8,34%"
"01.11.2006","569,25","524,75","574,00","514,75","717,42K","9,37%"
"01.10.2006","520,50","558,00","569,25","517,50","677,15K","-5,41%"
"01.09.2006","550,25","642,25","644,00","533,50","618,20K","-13,72%"
"01.08.2006","637,75","647,25","679,25","630,00","605,29K","-0,82%"
"01.07.2006","643,00","652,00","685,50","627,00","568,07K","-1,04%"
"01.06.2006","649,75","628,50","653,00","610,00","483,01K","4,21%"
"01.05.2006","623,50","631,50","660,00","605,50","455,99K","-1,34%"
"01.04.2006","632,00","584,25","654,00","577,00","364,30K","8,54%"
"01.03.2006","582,25","545,25","589,75","525,50","511,31K","7,67%"
"01.02.2006","540,75","571,25","581,00","516,50","448,11K","-5,34%"
"01.01.2006","571,25","522,75","585,50","515,75","462,94K","10,17%"
"01.12.2005","518,50","512,50","560,00","501,50","360,97K","2,12%"
"01.11.2005","507,75","560,50","560,75","502,50","431,93K","-9,05%"
