"Date","Price","Open","High","Low","Vol.","Change %"
"01.12.2024","216,50","209,50","218,00","208,75","20,38K","3,34%"
"01.11.2024","209,50","218,25","221,75","209,25","693,78K","-3,90%"
"01.10.2024","218,00","220,25","235,00","215,50","1,03M","-1,91%"
"01.09.2024","222,25","205,25","228,00","184,75","625,10K","8,02%"
"01.08.2024","205,75","220,50","223,75","189,00","504,26K","-6,58%"
"01.07.2024","220,25","224,50","231,50","211,50","823,07K","-2,00%"
"01.06.2024","224,75","260,00","264,50","219,50","878,43K","-13,31%"
"01.05.2024","259,25","205,75","269,25","202,75","690,33K","26,46%"
"01.04.2024","205,00","201,50","219,25","198,50","861,18K","0,74%"
"01.03.2024","203,50","190,75","210,50","172,50","626,85K","6,68%"
"01.02.2024","190,75","210,50","215,25","190,25","726,75K","-9,49%"
"01.01.2024","210,75","222,75","224,50","210,50","806,92K","-5,28%"
"01.12.2023","222,50","220,25","232,00","210,00","389,16K","0,68%"
"01.11.2023","221,00","230,50","238,50","212,50","790,49K","-3,70%"
"01.10.2023","229,50","234,75","241,00","228,50","870,49K","-2,55%"
"01.09.2023","235,50","224,25","243,75","203,75","730,86K","5,02%"
"01.08.2023","224,25","238,75","245,25","222,25","473,36K","-6,56%"
"01.07.2023","240,00","227,50","265,50","224,25","799,23K","4,01%"
"01.06.2023","230,75","221,00","254,50","219,50","726,75K","5,73%"
"01.05.2023","218,25","236,50","240,75","215,25","458,61K","-8,49%"
"01.04.2023","238,50","262,50","266,00","236,25","556,91K","-8,36%"
"01.03.2023","260,25","275,00","276,75","244,00","610,06K","-5,10%"
"01.02.2023","274,25","286,75","301,50","272,50","500,17K","-4,69%"
"01.01.2023","287,75","308,50","311,50","278,75","564,40K","-6,95%"
"01.12.2022","309,25","326,50","326,75","294,25","303,14K","-5,28%"
"01.11.2022","326,50","349,75","359,75","314,75","568,38K","-7,31%"
"01.10.2022","352,25","360,00","365,00","333,25","652,58K","-1,26%"
"01.09.2022","356,75","330,00","360,25","312,25","480,32K","7,37%"
"01.08.2022","332,25","343,25","347,25","307,75","242,31K","-3,13%"
"01.07.2022","343,00","343,25","371,25","322,00","517,61K","-2,07%"
"01.06.2022","350,25","391,25","403,00","347,50","542,13K","-10,71%"
"01.05.2022","392,25","400,50","444,50","382,25","338,87K","-2,12%"
"01.04.2022","400,75","365,75","427,75","362,50","321,89K","8,46%"
"01.03.2022","369,50","331,25","450,00","331,25","355,91K","14,57%"
"01.02.2022","322,50","267,75","344,00","259,00","421,42K","21,24%"
"01.01.2022","266,00","280,25","291,75","259,75","615,82K","-4,49%"
"01.12.2021","278,50","284,00","295,00","272,25","315,47K","-0,36%"
"01.11.2021","279,50","283,75","313,50","277,00","477,80K","-1,32%"
"01.10.2021","283,25","260,75","286,75","259,25","577,69K","9,79%"
"01.09.2021","258,00","252,00","262,75","231,00","475,23K","3,72%"
"01.08.2021","248,75","225,00","283,75","223,75","321,13K","11,42%"
"01.07.2021","223,25","210,75","224,00","196,25","457,10K","6,69%"
"01.06.2021","209,25","215,00","221,50","200,75","403,99K","-2,11%"
"01.05.2021","213,75","259,00","270,00","201,75","325,46K","-17,07%"
"01.04.2021","257,75","216,00","258,50","204,00","361,56K","19,61%"
"01.03.2021","215,50","245,00","252,75","208,75","417,63K","-12,04%"
"01.02.2021","245,00","228,25","246,75","221,25","450,26K","7,93%"
"01.01.2021","227,00","215,50","240,25","213,50","797,27K","6,45%"
"01.12.2020","213,25","210,00","214,50","201,00","308,61K","1,43%"
"01.11.2020","210,25","204,50","213,75","202,75","446,79K","2,44%"
"01.10.2020","205,25","197,75","214,00","194,50","829,81K","3,79%"
"01.09.2020","197,75","188,00","198,25","186,50","536,82K","5,33%"
"01.08.2020","187,75","181,75","189,75","176,75","245,73K","2,74%"
"01.07.2020","182,75","181,25","189,75","179,50","443,97K","1,25%"
"01.06.2020","180,50","188,00","188,75","175,75","377,81K","-4,12%"
"01.05.2020","188,25","195,00","209,50","183,00","236,78K","-3,83%"
"01.04.2020","195,75","195,25","206,00","190,25","427,79K","-0,25%"
"01.03.2020","196,25","189,00","198,00","170,00","495,70K","4,67%"
"01.02.2020","187,50","189,50","196,75","185,25","462,31K","-1,83%"
"01.01.2020","191,00","188,75","199,75","187,50","628,06K","1,19%"
"01.12.2019","188,75","185,25","189,75","180,00","272,05K","1,75%"
"01.11.2019","185,50","178,25","185,50","176,50","391,14K","4,21%"
"01.10.2019","178,00","175,50","182,25","174,25","606,22K","1,86%"
"01.09.2019","174,75","165,00","175,00","151,25","323,40K","6,39%"
"01.08.2019","164,25","175,25","175,25","163,75","300,33K","-6,01%"
"01.07.2019","174,75","180,00","180,75","172,25","392,66K","-3,05%"
"01.06.2019","180,25","185,00","187,75","175,75","357,85K","-2,70%"
"01.05.2019","185,25","184,00","190,00","167,00","389,50K","1,09%"
"01.04.2019","183,25","185,50","190,25","181,25","340,67K","-1,35%"
"01.03.2019","185,75","193,50","193,50","181,00","272,79K","-3,88%"
"01.02.2019","193,25","204,50","205,00","190,00","410,92K","-5,39%"
"01.01.2019","204,25","203,25","207,25","202,75","340,76K","0,49%"
"01.12.2018","203,25","202,00","208,50","198,50","252,65K","0,99%"
"01.11.2018","201,25","198,50","202,50","196,25","455,47K","1,39%"
"01.10.2018","198,50","199,75","205,50","197,75","389,93K","-1,49%"
"01.09.2018","201,50","205,75","206,50","183,00","334,58K","-1,59%"
"01.08.2018","204,75","202,75","219,50","196,75","312,64K","1,24%"
"01.07.2018","202,25","179,00","205,75","178,50","412,57K","13,31%"
"01.06.2018","178,50","182,00","185,25","170,50","361,27K","-2,33%"
"01.05.2018","182,75","169,50","187,25","167,50","308,94K","8,62%"
"01.04.2018","168,25","163,75","168,75","162,50","459,73K","2,75%"
"01.03.2018","163,75","166,50","167,50","157,00","272,41K","-1,80%"
"01.02.2018","166,75","157,50","167,00","156,00","360,25K","5,37%"
"01.01.2018","158,25","158,75","161,75","154,00","395,11K","-0,47%"
"01.12.2017","159,00","158,75","162,00","155,00","175,16K","-0,31%"
"01.11.2017","159,50","161,75","163,25","156,50","445,81K","-1,54%"
"01.10.2017","162,00","166,00","167,50","160,50","316,65K","-2,41%"
"01.09.2017","166,00","156,25","168,00","147,00","272,82K","6,58%"
"01.08.2017","155,75","167,50","167,75","150,75","194,80K","-7,43%"
"01.07.2017","168,25","180,00","183,25","168,00","281,17K","-4,67%"
"01.06.2017","176,50","166,75","180,00","165,00","323,99K","5,85%"
"01.05.2017","166,75","170,50","171,75","160,00","167,24K","-0,89%"
"01.04.2017","168,25","165,25","168,75","162,25","413,44K","2,28%"
"01.03.2017","164,50","173,00","175,50","161,50","394,95K","-4,50%"
"01.02.2017","172,25","165,75","173,75","165,25","326,44K","4,08%"
"01.01.2017","165,50","167,75","172,00","165,50","358,58K","-1,49%"
"01.12.2016","168,00","161,50","169,00","154,75","202,11K","3,70%"
"01.11.2016","162,00","165,75","170,00","160,00","383,94K","-2,26%"
"01.10.2016","165,75","160,50","166,25","157,00","346,02K","3,27%"
"01.09.2016","160,50","155,25","162,50","139,50","233,26K","3,72%"
"01.08.2016","154,75","166,00","169,50","153,50","194,69K","-6,78%"
"01.07.2016","166,00","155,00","177,25","150,75","342,37K","6,58%"
"01.06.2016","155,75","165,00","174,00","155,25","280,06K","-5,46%"
"01.05.2016","164,75","152,00","167,75","144,00","209,03K","8,75%"
"01.04.2016","151,50","153,50","157,50","149,00","535,25K","-0,82%"
"01.03.2016","152,75","146,75","159,50","140,25","367,64K","3,74%"
"01.02.2016","147,25","163,25","163,25","145,25","416,75K","-10,08%"
"01.01.2016","163,75","173,25","173,25","163,25","422,85K","-5,62%"
"01.12.2015","173,50","177,00","179,00","161,50","202,76K","-1,84%"
"01.11.2015","176,75","181,00","186,00","175,00","402,62K","-2,21%"
"01.10.2015","180,75","175,00","182,00","174,25","412,28K","3,58%"
"01.09.2015","174,50","160,00","179,25","143,00","335,38K","8,89%"
"01.08.2015","160,25","180,00","183,75","158,75","204,92K","-11,22%"
"01.07.2015","180,50","204,75","206,75","179,50","342,03K","-10,31%"
"01.06.2015","201,25","176,25","202,00","176,00","253,98K","14,35%"
"01.05.2015","176,00","178,00","186,75","152,00","182,91K","-1,12%"
"01.04.2015","178,00","188,25","194,00","176,00","360,30K","-5,07%"
"01.03.2015","187,50","188,50","199,25","176,75","309,33K","0,00%"
"01.02.2015","187,50","186,00","190,75","182,75","314,92K","1,08%"
"01.01.2015","185,50","199,00","201,50","184,50","294,68K","-7,25%"
"01.12.2014","200,00","183,50","209,25","181,75","258,16K","8,55%"
"01.11.2014","184,25","171,75","185,00","155,00","252,29K","6,97%"
"01.10.2014","172,25","152,25","176,00","151,75","413,26K","12,77%"
"01.09.2014","152,75","174,25","174,50","148,50","465,36K","-12,34%"
"01.08.2014","174,25","171,00","180,50","167,00","448,88K","2,20%"
"01.07.2014","170,50","185,25","185,50","169,75","578,95K","-8,21%"
"01.06.2014","185,75","189,75","193,75","185,00","346,77K","-3,00%"
"01.05.2014","191,50","215,25","218,25","190,25","272,35K","-11,03%"
"01.04.2014","215,25","207,50","222,00","205,00","307,77K","3,61%"
"01.03.2014","207,75","207,50","220,00","205,50","254,84K","3,23%"
"01.02.2014","201,25","191,75","202,00","191,50","239,96K","4,55%"
