"Date","Price","Open","High","Low","Vol.","Change %"
"01.12.2024","619,20","611,10","621,23","607,80","204,17K","0,75%"
"01.11.2024","614,60","633,65","634,00","590,20","754,37K","-3,06%"
"01.10.2024","634,00","594,05","637,30","585,64","587,71K","6,51%"
"01.09.2024","595,25","573,10","600,79","565,13","549,50K","3,78%"
"01.08.2024","573,59","563,50","577,00","543,00","702,14K","1,67%"
"01.07.2024","564,16","549,30","581,23","547,48","","2,71%"
"01.06.2024","549,30","549,45","562,00","541,12","","-0,04%"
"01.05.2024","549,50","539,10","577,74","538,05","","0,66%"
"01.04.2024","545,90","529,84","582,00","527,00","","3,39%"
"01.03.2024","528,00","482,25","532,00","482,25","","9,43%"
"01.02.2024","482,50","481,65","483,95","478,00","","0,01%"
"01.01.2024","482,46","479,00","483,55","476,03","","0,51%"
"01.12.2023","480,00","473,96","484,90","466,50","","1,27%"
"01.11.2023","473,96","475,50","478,30","462,80","","-0,34%"
"01.10.2023","475,60","438,00","480,49","438,00","","6,64%"
"01.09.2023","446,00","461,36","480,50","446,00","","-3,50%"
"01.08.2023","462,20","456,84","463,74","452,58","","1,17%"
"01.07.2023","456,84","450,28","462,41","447,03","","1,46%"
"01.06.2023","450,28","450,02","453,49","445,40","","0,06%"
"01.05.2023","450,02","456,50","457,50","442,81","","1,58%"
"01.04.2023","443,00","437,64","451,64","434,02","","1,22%"
"01.03.2023","437,64","415,00","448,00","412,71","","5,46%"
"01.02.2023","415,00","421,52","426,60","410,00","","-1,55%"
"01.01.2023","421,52","411,49","423,42","408,08","","2,81%"
"01.12.2022","410,00","405,00","411,50","400,63","","1,90%"
"01.11.2022","402,36","391,77","416,00","389,36","","2,70%"
"01.10.2022","391,77","394,36","396,50","386,50","","0,58%"
"01.09.2022","389,50","384,35","390,55","381,07","","1,16%"
"01.08.2022","385,05","384,73","392,60","382,00","35,78K","0,35%"
"01.07.2022","383,70","390,50","393,60","368,00","385,00K","-2,09%"
"01.06.2022","391,90","397,00","404,88","391,66","369,67K","-1,61%"
"01.05.2022","398,30","402,05","405,80","392,75","346,00K","-1,63%"
"01.04.2022","404,90","394,65","407,55","392,58","","2,50%"
"01.03.2022","395,04","388,00","419,26","386,56","","1,81%"
"01.02.2022","388,00","371,40","400,06","370,42","","5,12%"
"01.01.2022","369,10","370,95","378,00","367,03","","-1,14%"
"01.12.2021","373,35","365,28","373,98","363,12","","2,21%"
"01.11.2021","365,28","368,45","385,85","363,45","","-0,86%"
"01.10.2021","368,45","366,50","373,50","364,12","","1,61%"
"01.09.2021","362,60","376,96","380,62","361,00","","-3,88%"
"01.08.2021","377,24","377,01","380,50","360,00","","0,06%"
"01.07.2021","377,01","368,16","381,16","367,73","","2,34%"
"01.06.2021","368,40","393,15","393,87","365,25","","-6,35%"
"01.05.2021","393,36","373,56","394,40","372,98","","6,18%"
"01.04.2021","370,45","361,30","376,98","360,24","","2,48%"
"01.03.2021","361,50","361,80","368,96","353,00","","0,11%"
"01.02.2021","361,11","383,81","390,20","359,00","","-5,91%"
"01.01.2021","383,81","396,30","402,16","377,60","","-2,06%"
"01.12.2020","391,87","369,61","397,70","369,61","","6,05%"
"01.11.2020","369,50","397,65","409,62","366,31","","-7,30%"
