"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2024","298,00","297,70","299,70","291,50","304,48K","0,13%"
"01.11.2024","297,60","303,80","307,50","291,00","731,82K","-2,11%"
"01.10.2024","304,00","341,80","348,70","303,20","856,03K","-11,09%"
"01.09.2024","341,90","313,10","346,80","310,60","965,97K","9,23%"
"01.08.2024","313,00","313,90","333,40","295,70","934,38K","-0,35%"
"01.07.2024","314,10","335,40","339,50","304,70","495,28K","-6,43%"
"01.06.2024","335,70","355,70","357,30","335,40","410,56K","-5,68%"
"01.05.2024","355,90","348,20","386,90","346,00","372,51K","1,02%"
"01.04.2024","352,30","342,70","360,70","330,40","260,75K","3,07%"
"01.03.2024","341,80","330,30","351,00","329,20","445,54K","3,20%"
"01.02.2024","331,20","366,60","367,30","326,70","608,40K","-9,66%"
"01.01.2024","366,60","384,50","384,50","351,30","708,17K","-4,73%"
"01.12.2023","384,80","414,20","414,20","381,60","739,84K","-7,10%"
"01.11.2023","414,20","406,60","445,10","402,60","772,56K","1,82%"
"01.10.2023","406,80","379,40","417,50","366,20","782,99K","7,22%"
"01.09.2023","379,40","404,10","409,70","379,10","747,68K","-6,09%"
"01.08.2023","404,00","402,00","421,00","379,00","945,58K","0,60%"
"01.07.2023","401,60","406,20","429,70","394,50","344,67K","-1,11%"
"01.06.2023","406,10","377,70","436,50","377,10","380,18K","7,41%"
"01.05.2023","378,10","426,20","430,80","373,70","268,49K","-11,24%"
"01.04.2023","426,00","447,90","456,00","417,30","180,85K","-5,38%"
"01.03.2023","450,20","458,20","486,90","422,90","444,71K","-1,77%"
"01.02.2023","458,30","456,30","477,20","453,30","410,01K","0,44%"
"01.01.2023","456,30","460,00","469,50","433,90","373,33K","-1,02%"
"01.12.2022","461,00","415,80","469,30","413,30","730,35K","10,82%"
"01.11.2022","416,00","408,50","417,60","394,50","509,01K","1,64%"
"01.10.2022","409,30","401,00","419,10","389,80","458,22K","1,99%"
"01.09.2022","401,30","415,40","440,70","400,90","697,25K","-3,32%"
"01.08.2022","415,10","422,40","436,60","395,60","755,82K","-1,33%"
"01.07.2022","420,70","416,30","433,80","382,20","227,94K","1,11%"
"01.06.2022","416,10","407,40","425,00","387,40","221,33K","2,41%"
"01.05.2022","406,30","425,80","428,30","391,30","111,70K","-4,35%"
"01.04.2022","424,80","448,00","457,50","422,00","77,38K","-5,16%"
"01.03.2022","447,90","444,10","477,50","438,50","284,95K","1,22%"
"01.02.2022","442,50","414,90","481,70","413,80","413,51K","6,45%"
"01.01.2022","415,70","399,00","424,90","385,70","422,89K","4,68%"
"01.12.2021","397,10","341,60","409,90","339,10","548,06K","16,42%"
"01.11.2021","341,10","331,30","371,90","325,90","614,29K","2,93%"
"01.10.2021","331,40","331,00","334,10","311,20","446,16K","0,12%"
"01.09.2021","331,00","346,10","347,30","330,70","494,81K","-4,22%"
"01.08.2021","345,60","350,70","367,20","345,10","532,74K","-1,34%"
"01.07.2021","350,30","379,00","388,50","345,20","195,67K","-7,57%"
"01.06.2021","379,00","396,00","406,10","342,30","246,76K","-4,15%"
"01.05.2021","395,40","423,10","449,50","378,50","171,59K","-5,79%"
"01.04.2021","419,70","422,60","434,50","397,00","170,53K","0,02%"
"01.03.2021","419,60","422,20","424,30","389,20","297,93K","0,21%"
"01.02.2021","418,70","424,60","437,00","413,20","305,87K","-1,27%"
"01.01.2021","424,10","426,40","463,60","408,90","335,90K","0,17%"
"01.12.2020","423,40","389,10","427,30","377,80","576,23K","8,79%"
"01.11.2020","389,20","360,60","398,80","358,10","407,55K","8,05%"
"01.10.2020","360,20","342,10","370,60","341,40","439,84K","5,29%"
"01.09.2020","342,10","311,70","348,50","307,60","734,54K","9,47%"
"01.08.2020","312,50","293,40","314,90","283,10","634,24K","6,51%"
"01.07.2020","293,40","291,90","302,00","286,70","169,80K","0,69%"
"01.06.2020","291,40","286,30","296,70","285,00","157,24K","1,64%"
"01.05.2020","286,70","295,50","296,10","285,70","96,67K","-2,88%"
"01.04.2020","295,20","314,90","314,90","287,30","144,77K","-5,99%"
"01.03.2020","314,00","309,50","319,80","296,50","477,34K","1,26%"
"01.02.2020","310,10","301,50","311,60","296,50","500,70K","2,89%"
"01.01.2020","301,40","307,80","312,90","300,90","384,34K","-2,30%"
"01.12.2019","308,50","297,10","310,90","296,20","709,57K","3,84%"
"01.11.2019","297,10","310,50","312,70","296,80","494,22K","-4,32%"
"01.10.2019","310,50","303,20","318,30","302,60","442,15K","2,54%"
"01.09.2019","302,80","295,50","304,90","292,00","565,96K","2,54%"
"01.08.2019","295,30","302,10","303,40","292,70","624,82K","-2,25%"
"01.07.2019","302,10","320,10","320,50","301,30","189,16K","-4,79%"
"01.06.2019","317,30","323,90","330,50","311,80","243,74K","-2,13%"
"01.05.2019","324,20","301,50","330,90","285,00","207,94K","7,53%"
"01.04.2019","301,50","311,20","317,30","300,60","137,46K","-3,21%"
"01.03.2019","311,50","310,00","321,10","304,20","217,12K","0,55%"
"01.02.2019","309,80","318,50","324,90","309,40","312,10K","-2,52%"
"01.01.2019","317,80","313,70","327,90","312,90","329,31K","1,44%"
"01.12.2018","313,30","320,10","321,70","310,30","483,37K","0,03%"
"01.11.2018","313,20","309,50","319,80","305,30","403,24K","1,16%"
"01.10.2018","309,60","309,30","327,40","305,80","463,79K","0,06%"
"01.09.2018","309,40","307,70","320,50","302,90","656,61K","0,72%"
"01.08.2018","307,20","339,30","339,90","302,60","765,59K","-9,70%"
"01.07.2018","340,20","330,30","341,80","323,10","234,93K","2,81%"
"01.06.2018","330,90","377,10","377,40","324,60","260,24K","-11,95%"
"01.05.2018","375,80","392,60","403,20","370,80","223,84K","-4,23%"
"01.04.2018","392,40","383,30","400,10","364,60","201,49K","2,40%"
"01.03.2018","383,20","390,00","400,60","359,00","316,61K","-2,27%"
"01.02.2018","392,10","343,70","395,60","332,30","543,10K","14,08%"
"01.01.2018","343,70","321,30","351,70","314,00","429,58K","7,37%"
"01.12.2017","320,10","329,60","351,20","318,80","544,93K","-2,94%"
"01.11.2017","329,80","317,30","335,00","315,00","413,72K","4,01%"
"01.10.2017","317,10","317,00","332,80","311,80","273,63K","-0,22%"
"01.09.2017","317,80","299,40","322,70","296,40","585,15K","6,11%"
"01.08.2017","299,50","319,90","319,90","295,10","618,07K","-7,16%"
"01.07.2017","322,60","310,60","343,20","310,60","170,07K","4,77%"
"01.06.2017","307,90","300,70","312,50","294,40","155,76K","2,43%"
"01.05.2017","300,60","317,30","325,80","299,40","121,76K","-5,17%"
"01.04.2017","317,00","312,20","324,10","310,50","94,82K","1,50%"
"01.03.2017","312,30","339,10","342,90","311,10","194,59K","-7,98%"
"01.02.2017","339,40","339,60","357,20","335,80","242,68K","-0,21%"
"01.01.2017","340,10","319,40","354,00","313,50","293,96K","6,55%"
"01.12.2016","319,20","321,70","330,90","313,80","422,44K","-0,59%"
"01.11.2016","321,10","319,50","331,70","308,40","294,06K","0,47%"
"01.10.2016","319,60","300,20","330,20","296,80","314,61K","6,46%"
